
Constraints: | input size:100000 | input range: 0-1000000
m=122497 | m1=1250 | m2=1250 | A=0.618034 | c1=1 | c2=2 | chain_m=625 | division=0
516626 | 52364 

990691 | 87015 

810158 | 22081 

262336 | 69146 

88201 | 26439 

62256 | 39689 

110646 | 121115 

220755 | 11415 

406993 | 62128 

800560 | 35528 

996413 | 12351 

957106 | 4757 

463568 | 95559 

449027 | 116110 

98343 | 38777 

491271 | 21521 

949123 | 33503 

328992 | 29157 

131678 | 58745 

624847 | 83759 

444852 | 80353 

951633 | 66003 

502228 | 119324 

51462 | 32477 

730867 | 79286 

921792 | 96350 

85259 | 117578 

630582 | 13314 

811700 | 23111 

180654 | 38244 

572094 | 65751 

28391 | 73862 

75725 | 76413 

432389 | 12049 

537691 | 38396 

950684 | 3008 

555496 | 50054 

126643 | 83106 

16782 | 103681 

6884 | 66880 

676527 | 83335 

837179 | 9391 

301103 | 108791 

515039 | 74420 

311581 | 79408 

563301 | 20076 

281749 | 56139 

292789 | 67806 

801334 | 79419 

993735 | 711 

945713 | 95254 

22486 | 13752 

851054 | 36536 

444497 | 31101 

982750 | 110546 

366541 | 97540 

74020 | 107288 

786666 | 39908 

529350 | 35762 

796537 | 115061 

395348 | 61418 

131121 | 28742 

266612 | 34030 

949389 | 82139 

800139 | 11970 

907926 | 15590 

77582 | 38331 

633610 | 63160 

686195 | 102029 

287186 | 86861 

652904 | 105762 

887490 | 120619 

693171 | 29156 

508254 | 30246 

313837 | 114280 

477243 | 48373 

232627 | 48104 

892896 | 9361 

537913 | 63329 

672608 | 74123 

981499 | 90883 

349769 | 15950 

260076 | 98935 

122006 | 104714 

96638 | 69652 

845314 | 95935 

994661 | 37396 

506760 | 110754 

212081 | 32629 

646312 | 95956 

125778 | 9681 

482482 | 33681 

259815 | 61344 

743456 | 9449 

466549 | 17078 

535187 | 92649 

877476 | 121555 

425522 | 7222 

145458 | 121019 

171370 | 59368 

572950 | 70295 

408624 | 63774 

213077 | 101454 

384564 | 76297 

